bacteria.names,n.hosts,bacteria.phbs,motility,gram,spore,oxygen,zoonotic,cell,bacteria.phbs.no.human,family,genus,vector.borne,Nucleotide.records,Nucleotide.records.log,PHB.max,PHB.mean,PHB.median,PubMed.records.log,SRA.records.log
Chlamydia psittaci,133,0.476857951511096,Non-motile,Gram-negative,No,Aerobic,Zoonotic,Obligate intracellular,0.47029391118641,Chlamydiaceae,Chlamydia,No,14598,4.16429335931446,1.874803,0.47029391118641,0.403775,3.16375752398196,1.73239375982297
Francisella tularensis,110,0.692373204935663,Non-motile,Gram-negative,No,Aerobic,Zoonotic,Facultative intracellular,0.692760949376758,Francisellaceae,Francisella,Yes,10603,4.02542876140724,1.550165,0.692760949376758,0.66599533,3.41094585868777,2.36361197989214
Coxiella burnetii,104,0.695006479145575,Non-motile,Gram-negative,Yes,Aerobic,Zoonotic,Obligate intracellular,0.694357077054217,Coxiellaceae,Coxiella,Yes,4166,3.61971926561173,2.059024,0.694357077054217,0.7608892922,3.50906804501716,1.63346845557959
Bacillus anthracis,91,0.493612737602686,Non-motile,Gram-positive,Yes,Facultatively anaerobic,Zoonotic,Extracellular,0.491386553257004,Bacillaceae,Bacillus,No,12434,4.09461086303214,2.062476,0.491386553257004,0.4483783,3.67970038087196,2.7664128471124
Yersinia enterocolitica,79,0.719488863071665,Non-motile,Gram-negative,No,Facultatively anaerobic,Zoonotic,,0.719189982634599,Yersiniaceae,Yersinia,No,34090,4.53262700122889,1.4836209,0.719189982634599,0.7989448,3.72542155007426,2.06818586174616
Mycobacterium bovis,78,0.496591307614819,Non-motile,Gram-positive,No,Aerobic,Zoonotic,Extracellular,0.49437334487095,Mycobacteriaceae,Mycobacterium,No,13948,4.14451193870394,2.059024,0.49437334487095,0.4587936268,3.84260923961056,3.16672605558005
Yersinia pseudotuberculosis,78,0.704966459742324,Non-motile,Gram-negative,No,Facultatively anaerobic,Zoonotic,,0.705550127384005,Yersiniaceae,Yersinia,No,10737,4.03088295310967,1.620759,0.705550127384005,0.68139045,3.2964457942064,2.50785587169583
Mycobacterium avium,76,0.66798499522807,Non-motile,Gram-positive,No,Aerobic,Zoonotic,Facultative intracellular,0.667350284507387,Mycobacteriaceae,Mycobacterium,No,95279,4.9789971903643,1.4643275,0.667350284507387,0.6806892,3.95085145888855,2.60314437262018
Pasteurella multocida,75,0.682692005283387,Non-motile,Gram-negative,No,Facultatively anaerobic,Zoonotic,,0.680509665657275,Pasteurellaceae,Pasteurella,No,18156,4.25902017407081,2.059024,0.680509665657275,0.7564072,3.57229060615142,1.8750612633917
Aeromonas hydrophila,74,0.711087542154017,Motile,Gram-negative,No,Facultatively anaerobic,Zoonotic,,0.706430519829528,Aeromonadaceae,Aeromonas,No,10592,4.02497797209563,1.2780434,0.706430519829528,0.776845525,3.57310378316399,1.81291335664286
