virus.names,proteins,genome.size,genome.type,vector.borne,zoonotic,Nucleotide.records,Nucleotide.records.log,PHB.max,PHB.mean,PHB.median,PubMed.records.log,SRA.records.log
Newcastle disease virus,6,0.015186,(-) ssRNA,No,Zoonotic,8639,3.93646347400475,1.1251588,0.386244827030334,0.384380592,3.71516735784846,0.301029995663981
West Nile virus,2,0.0109955,(+) ssRNA,Yes,Zoonotic,20543,4.31266386615063,2.058525,0.695963060565114,0.7874496922,3.79330135361311,2.86451108105839
Rabies lyssavirus,5,0.011932,(-) ssRNA,No,Zoonotic,20881,4.31975129337632,1.4461428259,0.522288451073935,0.524721,1.23044892137827,1.92941892571429
St. Louis encephalitis virus,1,0.01094,(+) ssRNA,Yes,Zoonotic,332,2.52113808370404,2.059024,0.73135103633739,0.716107045,2.55388302664387,0
Eastern equine encephalitis virus,4,0.011675,(+) ssRNA,Yes,Zoonotic,1298,3.11327469246435,1.5621943,0.713378512190743,0.827967685,2.46686762035411,0.301029995663981
Frog virus 3,99,0.105903,dsDNA,No,Not zoonotic,131,2.11727129565576,1.6020458262,0.692574153182733,0.754557655,2.5092025223311,0
Venezuelan equine encephalitis virus,4,0.011444,(+) ssRNA,Yes,Zoonotic,503,2.70156798505593,1.4746808,0.713485550653899,0.6884597,2.79588001734408,1.17609125905568
Influenza A virus,12,0.013498,(-) ssRNA,No,Zoonotic,471113,5.67312508842496,1.3350059,0.644310912224314,0.66869025,4.02669665597816,3.8575737041475
Oncorhynchus 2 novirhabdovirus,6,0.011158,(-) ssRNA,No,Not zoonotic,0,-Inf,0.8323128,0.505155244958025,0.5236224,0.845098040014257,0
Beak and feather disease virus,3,0.001993,ssDNA,No,Not zoonotic,1035,3.01494034979294,1.3761300899,0.316662455722877,0.2629533,2.16136800223497,0
Bluetongue virus,11,0.019208,dsRNA,Yes,Not zoonotic,5042,3.70260284134043,2.062476,0.385423110895694,0.2560674268,3.35602585719312,1
Tick-borne encephalitis virus,1,0.011141,(+) ssRNA,Yes,Zoonotic,2178,3.33805787541976,1.1725234,0.643641717426822,0.6679507,3.27021285489624,0.301029995663981
Cardiovirus A,2,0.007835,(+) ssRNA,No,Zoonotic,302,2.48000694295715,2.062476,0.652698413421619,0.59856885,0.301029995663981,0
Japanese encephalitis virus,2,0.010976,(+) ssRNA,Yes,Zoonotic,2503,3.39846084960822,1.148643694,0.69224692170929,0.7749925772,3.42176840120692,0.301029995663981
Usutu virus,2,0.011066,(+) ssRNA,Yes,Zoonotic,352,2.54654266347813,1.238244,0.420476991256831,0.39826625,2.34044411484012,0
Redspotted grouper nervous necrosis virus,3,0.004539,(+) ssRNA,No,Not zoonotic,220,2.34242268082221,2.690778,0.605501277135593,0.50130395,1.5910646070265,0
Lymphocystis disease virus 1,110,0.102653,dsDNA,No,Not zoonotic,74,1.86923171973098,0.6866302285,0.460413608285213,0.4639069,0.477121254719662,0
Rotavirus A,12,0.018562,dsRNA,No,Zoonotic,51610,4.71273385906995,1.6140679,0.604843410890226,0.5800506,2.52244423350632,1.07918124604762
Simian foamy virus,6,0.013246,ssRNA-RT,No,Zoonotic,3296,3.51798720302508,0.5804051,0.340628461610025,0.3283279,2.26951294421792,0
California encephalitis orthobunyavirus,4,0.012491,(-) ssRNA,Yes,Zoonotic,198,2.29666519026153,2.059024,0.596032866146429,0.553340105,0.301029995663981,0.301029995663981
Infectious spleen and kidney necrosis virus,125,0.111362,dsDNA,No,Not zoonotic,254,2.40483371661994,2.10583,0.569047112069899,0.5037228,2.01703333929878,0
Bovine viral diarrhea virus 1,1,0.012573,(+) ssRNA,Yes,Not zoonotic,5421,3.73407940728059,2.062476,0.378612567757329,0.2460362,1.91907809237607,0
Psittacid alphaherpesvirus 1,77,0.163025,dsDNA,No,Not zoonotic,99,1.99563519459755,1.1594060391,0.257280913575907,0.22367562,0,0
Canine distemper virus,7,0.01569,(-) ssRNA,No,Not zoonotic,1971,3.29468662427944,0.8338968,0.399033325417647,0.3757669224,3.17580163284828,1
Cowpox virus,233,0.224499,dsDNA,No,Zoonotic,724,2.85973856619715,0.7561516,0.505743191627451,0.553059366,2.79309160017658,1.38021124171161
Crimean-Congo hemorrhagic fever nairovirus,3,0.019146,(-) ssRNA,No,Zoonotic,2650,3.42324587393681,1.552174,0.555258256113725,0.549922,0.301029995663981,0.954242509439325
Orthohepevirus A,3,0.007176,(+) ssRNA,No,Zoonotic,13379,4.12642365373734,1.5445493,0.552122020066667,0.567544,1.30102999566398,0.845098040014257
Avian coronavirus,10,0.0276325,(+) ssRNA,No,Not zoonotic,6940,3.84135947045485,0.5063571,0.339227074091156,0.366705123,2.20951501454263,0
Foot-and-mouth disease virus,1,0.008134,(+) ssRNA,No,Zoonotic,7338,3.86557770741993,0.6853369,0.311342462806475,0.2552886,3.62551822897164,1.74036268949424
Highlands J virus,3,0.011526,(+) ssRNA,Yes,Zoonotic,38,1.57978359661681,0.9565169,0.403790016134875,0.386072,1.39794000867204,0
Psittaciform 1 bornavirus,6,0.008914,(-) ssRNA,No,Not zoonotic,298,2.47421626407626,0.7485955,0.319485093408954,0.33121725,0.698970004336019,0
Fowlpox virus,261,0.288539,dsDNA,Yes,Not zoonotic,235,2.37106786227174,0.5389059922,0.350508195659197,0.3711764,2.64345267648619,0
Yellow fever virus,1,0.010862,(+) ssRNA,Yes,Zoonotic,636,2.80345711564841,0.7532325,0.506233742636545,0.530546,3.12123145514962,0.301029995663981
Infectious pancreatic necrosis virus,3,0.005881,dsRNA,No,Not zoonotic,780,2.89209460269048,0.827551,0.488590582701045,0.4964345,2.70500795933334,0
Rift Valley fever phlebovirus,4,0.011979,(-) ssRNA,Yes,Zoonotic,925,2.96614173273903,1.4632965,0.50258954916643,0.4624376,1.39794000867204,0
Ross River virus,3,0.011657,(+) ssRNA,Yes,Zoonotic,393,2.59439255037543,1.0481585408,0.541773860508962,0.583492266,2.69983772586725,0
New Jersey vesiculovirus,5,0.011123,(-) ssRNA,No,Zoonotic,344,2.53655844257153,2.059024,0.589290555285285,0.5337077845,0.301029995663981,0
Carnivore protoparvovirus 1,3,0.005323,ssDNA,No,Not zoonotic,2976,3.47363292687384,0.6678396398,0.348645058877778,0.3736297,1.04139268515823,0
Ovine gammaherpesvirus 2,73,0.135135,dsDNA,No,Not zoonotic,202,2.30535136944662,2.059024,0.336021689266667,0.2401220318,0.698970004336019,0.301029995663981
Monkeypox virus,191,0.196858,dsDNA,No,Zoonotic,266,2.42488163663107,1.0890114814,0.534604445763458,0.5807795,2.52374646681156,0
Western equine encephalitis virus,3,0.011484,(+) ssRNA,Yes,Zoonotic,145,2.16136800223497,1.106603,0.706891681795187,0.8184621,2.3096301674259,1.04139268515823
Akabane orthobunyavirus,4,0.012035,(-) ssRNA,Yes,Not zoonotic,331,2.51982799377572,1.442955,0.367882397753119,0.33125517,0.477121254719662,0.301029995663981
Bovine alphaherpesvirus 1,70,0.135301,dsDNA,No,Not zoonotic,435,2.63848925695464,2.062476,0.472454468555258,0.2547809536,1.04139268515823,0
Dengue virus,1,0.010715,(+) ssRNA,Yes,Zoonotic,19247,4.28436304631311,0.8017384,0.558744937721212,0.61179725,3.94502520124246,2.54777470538782
Ilheus virus,1,0.010755,(+) ssRNA,Yes,Zoonotic,40,1.60205999132796,1.109487,0.684980223175758,0.785112435,1.54406804435028,0
Columbid alphaherpesvirus 1,NA,NA,dsDNA,No,Not zoonotic,41,1.61278385671974,0.66250477,0.316892921187879,0.325425425,0.301029995663981,0
Simian immunodeficiency virus,7,0.0095705,ssRNA-RT,No,Not zoonotic,40338,4.60571436163837,0.3528928,0.214760675739394,0.2214858961,3.67357379642305,2.12057393120585
Bovine parainfluenza virus 3,6,0.015537,(-) ssRNA,No,Not zoonotic,259,2.41329976408125,2.059024,0.375028143732056,0.2358753,1.5910646070265,0
Vesicular exanthema of swine virus,3,0.0082865,(+) ssRNA,No,Zoonotic,124,2.09342168516224,1.23566271,0.628662931950345,0.5703566,1.69897000433602,0
Bovine fever ephemerovirus,12,0.0149,(-) ssRNA,Yes,Not zoonotic,252,2.40140054078154,1.442955,0.356204049215862,0.2460697,1.20411998265592,0
Lymphocytic choriomeningitis mammarenavirus,4,0.010056,(-) ssRNA,No,Zoonotic,409,2.61172330800734,0.7389527,0.485848237068966,0.548957115,0.698970004336019,0.903089986991944
Canarypox virus,328,0.359853,dsDNA,Yes,Not zoonotic,87,1.93951925261862,0.6212509,0.341999850237438,0.3652010461,2.17318626841227,0
